Date;Price;Open;High;Low;Vol.;Change %
10/21/2010;127.445;126.852;128.236;126.786;3.45M;-0.15%
10/20/2010;127.643;125.140;127.709;125.008;3.72M;1.25%
10/19/2010;126.062;125.140;128.301;124.942;5.61M;0.63%
10/18/2010;125.272;122.044;125.272;121.913;3.85M;2.42%
10/15/2010;122.308;123.362;123.954;121.122;3.26M;-0.48%
10/14/2010;122.900;124.745;124.811;122.900;3.12M;-1.22%
10/13/2010;124.415;122.308;124.679;121.583;3.43M;2.05%
10/12/2010;121.913;122.308;123.098;121.254;3.42M;-1.17%
10/11/2010;123.362;123.823;124.218;123.098;1.97M;-0.11%
10/08/2010;123.493;122.044;123.823;122.044;4.31M;0.81%
10/07/2010;122.505;120.925;123.757;120.003;4.78M;1.25%
10/06/2010;120.991;123.296;123.823;120.859;4.28M;-1.18%
10/05/2010;122.439;118.751;122.703;118.224;4.52M;2.76%
10/04/2010;119.146;120.991;121.254;118.685;3.65M;-1.31%
10/01/2010;120.727;124.415;124.942;120.530;6.33M;-2.14%
09/30/2010;123.362;120.727;126.062;120.398;5.76M;1.74%
09/29/2010;121.254;124.086;125.008;120.991;4.62M;-1.71%
09/28/2010;123.362;124.020;125.667;122.242;5.99M;-1.06%
09/27/2010;124.679;124.679;126.391;124.613;3.68M;0.11%
09/24/2010;124.547;120.134;124.811;119.937;5.64M;3.28%
09/23/2010;120.595;120.661;122.176;119.805;6.37M;0.44%
09/22/2010;120.068;124.547;124.745;119.937;9.86M;-4.00%
09/21/2010;125.074;123.691;127.116;122.703;7.63M;-2.11%
09/20/2010;127.774;126.852;128.433;125.272;4.70M;0.88%
09/17/2010;126.655;131.529;131.660;126.325;7.08M;-2.48%
09/16/2010;129.882;132.055;132.714;129.619;4.36M;-1.89%
09/15/2010;132.385;133.867;134.031;130.936;3.25M;-0.50%
09/14/2010;133.044;134.031;134.855;131.660;4.02M;-0.62%
09/13/2010;133.867;131.891;135.019;131.726;4.27M;2.86%
09/10/2010;130.145;129.948;130.607;128.236;4.02M;-0.70%
09/09/2010;131.068;127.116;132.385;126.655;4.35M;2.52%
09/08/2010;127.840;125.140;128.236;123.954;4.52M;1.25%
09/07/2010;126.260;128.499;128.697;125.667;3.73M;-2.44%
09/06/2010;129.421;130.409;130.475;129.421;1.48M;0.10%
09/03/2010;129.289;127.774;131.133;127.182;4.68M;1.45%
09/02/2010;127.445;126.128;128.301;125.996;3.91M;0.36%
09/01/2010;126.984;122.637;127.050;120.925;5.20M;4.10%
08/31/2010;121.979;119.080;123.362;118.554;6.71M;0.05%
08/30/2010;121.913;124.218;124.613;121.517;2.80M;-1.02%
08/27/2010;123.164;122.505;124.284;120.266;5.17M;-0.37%
08/26/2010;123.625;123.164;124.284;122.505;5.75M;1.46%
08/25/2010;121.847;125.008;125.996;120.266;5.82M;-2.79%
08/24/2010;125.338;127.445;127.840;122.900;5.37M;-2.51%
08/23/2010;128.565;127.840;130.409;127.247;3.18M;0.77%
08/20/2010;127.577;126.786;128.697;126.589;4.29M;-0.05%
08/19/2010;127.643;131.463;131.891;127.182;4.46M;-2.12%
08/18/2010;130.409;130.409;131.891;128.828;3.90M;-0.45%
08/17/2010;131.002;130.541;131.594;129.750;3.19M;0.81%
08/16/2010;129.948;130.804;131.891;127.840;2.96M;-0.30%
08/13/2010;130.343;132.549;133.208;128.631;4.51M;-1.30%
08/12/2010;132.055;132.714;133.702;130.541;4.22M;-0.87%
08/11/2010;133.208;137.160;137.325;132.714;3.43M;-3.46%
08/10/2010;137.983;137.983;139.136;136.831;2.64M;-0.36%
08/09/2010;138.477;138.477;138.807;137.325;2.26M;1.45%
08/06/2010;136.501;137.818;139.465;135.349;4.25M;-0.36%
08/05/2010;136.995;140.124;140.124;136.337;4.44M;-1.89%
08/04/2010;139.630;141.112;142.264;137.160;7.80M;-2.75%
08/03/2010;143.582;146.216;147.204;141.112;5.87M;-1.80%
08/02/2010;146.216;142.429;146.381;142.100;3.81M;3.26%
07/30/2010;141.606;141.276;143.417;139.630;4.34M;-0.23%
07/29/2010;141.935;142.264;144.899;141.276;4.35M;0.00%
07/28/2010;141.935;142.923;144.570;141.441;4.55M;-0.35%
07/27/2010;142.429;135.349;143.252;135.184;8.90M;5.62%
07/26/2010;134.855;136.007;136.501;133.208;4.13M;0.37%
07/23/2010;134.361;134.855;136.007;133.044;4.15M;-0.49%
07/22/2010;135.019;130.145;135.678;129.619;5.38M;3.12%
07/21/2010;130.936;131.726;132.385;130.080;4.25M;0.66%
07/20/2010;130.080;131.891;132.549;127.577;5.48M;-0.45%
07/19/2010;130.672;129.750;132.879;127.840;5.50M;-0.70%
07/16/2010;131.594;133.537;135.843;129.750;5.04M;-1.33%
07/15/2010;133.373;135.019;137.160;132.220;4.58M;-1.94%
07/14/2010;136.007;138.148;138.313;134.031;4.18M;-0.84%
07/13/2010;137.160;135.349;137.983;135.184;4.62M;1.09%
07/12/2010;135.678;135.349;136.995;133.537;3.92M;0.49%
07/09/2010;135.019;131.726;136.831;131.529;5.99M;3.17%
07/08/2010;130.870;130.409;131.594;129.816;6.25M;1.22%
07/07/2010;129.289;120.398;130.014;119.871;8.45M;6.11%
07/06/2010;121.847;118.817;123.296;118.422;5.84M;3.06%
07/05/2010;118.224;120.200;120.332;117.895;2.17M;-1.48%
07/02/2010;120.003;120.727;121.320;119.080;5.23M;0.39%
07/01/2010;119.541;118.422;122.110;117.171;7.59M;-1.31%
06/30/2010;121.122;120.134;123.164;118.685;8.18M;0.82%
06/29/2010;120.134;124.745;125.469;119.871;6.83M;-5.64%
06/28/2010;127.313;127.972;129.223;125.338;7.43M;-0.21%
06/25/2010;127.577;126.128;128.301;124.745;7.61M;1.68%
06/24/2010;125.469;126.391;128.828;123.493;8.37M;-0.31%
06/23/2010;125.864;124.415;127.840;123.559;6.81M;-0.36%
06/22/2010;126.325;127.116;128.697;124.481;7.10M;-1.99%
06/21/2010;128.894;130.607;131.660;127.906;5.75M;0.82%
06/18/2010;127.840;125.206;128.433;123.888;8.50M;2.59%
